Pathway;Pathway_total;Hits_total;Hits_sig;Expected;P_Fisher;P_EASE;P_Gamma;Emp_Hits;Empirical;AdjP_Fisher;AdjP_EASE;AdjP_Gamma;Pathway_Number;cpd_hits;Condition;Sex;EnrichFactor
Vitamin A (retinol) metabolism;55;14;3;2,141700;0,9126100;1,000000;0,05708100;85;0,85;1,0000000;1,000000;0,11416200;P28;EC00024;PFOSTemp;Female;1,400756408460569
Glycosphingolipid biosynthesis - globoseries;17;3;1;0,236220;0,0159060;0,197900;0,00061373;0;0,00;0,2067780;1,000000;0,00797849;P1;"EC000125;EC000126";AcidPFOS;Female;4,233341800016933
Sialic acid metabolism;89;14;1;0,708660;0,1472300;0,492600;0,00106590;7;0,07;1,0000000;1,000000;0,01279080;P2;"EC000125;EC000126";AcidPFOS;Female;1,411113933338978
Fatty Acid Metabolism;35;3;1;0,314960;0,2806700;1,000000;0,00189770;9;0,09;1,0000000;1,000000;0,02087470;P3;EC00014;AcidPFOS;Female;3,175006350012700
Putative anti-Inflammatory metabolites formation from EPA;19;3;1;0,314960;0,2806700;1,000000;0,00189770;18;0,18;1,0000000;1,000000;0,02087470;P4;EC000101;AcidPFOS;Female;3,175006350012700
Squalene and cholesterol biosynthesis;53;9;3;0,314960;0,2806700;1,000000;0,00189770;5;0,05;1,0000000;1,000000;0,02087470;P5;EC00014;AcidPFOS;Female;9,525019050038100
Vitamin A (retinol) metabolism;55;14;3;1,259800;0,3629700;0,711760;0,00273690;19;0,19;1,0000000;1,000000;0,02189520;P6;"EC00025;EC00026";AcidPFOS;Female;2,381330369899984
De novo fatty acid biosynthesis;73;7;1;1,417300;0,4248200;0,756420;0,00362770;47;0,47;1,0000000;1,000000;0,02539390;P7;"EC00093;EC00094";AcidPFOS;Female;0,705566923022649
C21-steroid hormone biosynthesis and metabolism;77;14;1;0,551180;0,4422400;1,000000;0,00393210;24;0,24;1,0000000;1,000000;0,02539390;P8;EC00014;AcidPFOS;Female;1,814289342864400
Bile acid biosynthesis;64;14;1;0,629920;0,4883400;1,000000;0,00488030;24;0,24;1,0000000;1,000000;0,02539390;P9;EC00014;AcidPFOS;Female;1,587503175006350
Omega-3 fatty acid metabolism;38;3;2;0,629920;0,4883400;1,000000;0,00488030;31;0,31;1,0000000;1,000000;0,02539390;P10;EC00074;AcidPFOS;Female;3,175006350012700
Fatty acid activation;78;9;1;1,889800;0,5942600;0,855870;0,00817300;58;0,58;1,0000000;1,000000;0,02539390;P11;"EC00093;EC00094";AcidPFOS;Female;0,529156524499947
Arachidonic acid metabolism;73;17;11;1,259800;0,7505200;1,000000;0,01887900;74;0,74;1,0000000;1,000000;0,03775800;P12;EC00072;AcidPFOS;Female;8,731544689633274
Glycerophospholipid metabolism;146;13;1;1,338600;0,7727900;1,000000;0,02152800;66;0,66;1,0000000;1,000000;0,03775800;P13;EC00014;AcidPFOS;Female;0,747049155834454
